Study,Cell Line,Compound Name,Condition,Nanoparticle,Units,Concentration_mg/mL,Concentration (uM),CD14 Fold Increase (HL60),CD14 Fold Increase (OCI-AML3),CD14 Fold Increase (NB4),ROS Oxidation (HL60),ROS Oxidation (OCI-AML3),ROS Oxidation (NB4),IC50,Apoptosis (%),PARP Fold Change,ROS Level,Cell Viability (%),Time (h),ROS Measurement,Treatment Condition,Dosing Range,Concentrations Tested,Microscopy Images,Observed Response,NAC,H2O2_mM,ROS_Level_%Control,Observation,Drug,siRNA,% ROS+ Cells,Concentration (μM or mM),ROS Unit,NAC Involved,Delivery Type,Source Figure/Study
AS serum + NAC,HL-60,NAC amide,NAC alone,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,55.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,NAC,APE1siRNA,3%,0.5 mM,% Dead Cells,Yes,Free,Fig 6a
AS serum + NAC,HL-60,NAC amide,NAC+SOD,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,85.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,NAC + 100U SOD,APE1siRNA,3%,0.5 mM,% Dead Cells,Yes,Free,Fig 6a
AS serum + NAC,HeLa,NAC amide,2a,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,2.8,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,2a,APE1siRNA,3%,2 μM,Relative Fluorescence,No,Free,Fig 7b left
AS serum + NAC,HeLa,NAC amide,NAC co-treatment,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,1.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,NAC+2a,APE1siRNA,3%,2 μM,Relative Fluorescence,Yes,Free,Fig 7b left
AS serum + NAC,Primary Human Cells,NAC amide,AS serum + NAC,PFNP,mM,,25.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,Cisplatin,SCsiRNA,5%,5 μM,fluorescence units,No,Free,Fig 1A top
AS serum + NAC,Primary Human Cells,NAC amide,AS serum + NAC,PFNP,mM,,50.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,Cisplatin,SCsiRNA,30%,5 μM,fluorescence units,No,Free,Fig 1A top
AS serum + NAC,Primary Human Cells,NAC amide,AS serum + NAC,PFNP,mM,,100.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,Cisplatin,SCsiRNA,38%,5 μM,fluorescence units,No,Free,Fig 1A top
AS serum + NAC,Primary Human Cells,NAC amide,AS serum + NAC,PFNP,mM,,300.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,Oxaliplatin,SCsiRNA,28%,5 μM,fluorescence units,No,Free,Fig 1A top
AS serum + NAC,Primary Human Cells,NAC amide,AS serum + NAC,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,Carboplatin,SCsiRNA,4%,5 μM,fluorescence units,No,Free,Fig 1A top
AS serum + NAC,Primary Human Cells,NAC amide,AS serum + NAC,Ta NPs,mM,0.5,0.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",,1.0,40,Partial ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
AS serum + NAC,Primary Human Cells,NAC amide,AS serum + NAC,Ta NPs,mM,1.0,0.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",,1.0,30,Significant ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
AS serum + NAC,Primary Human Cells,NAC amide,AS serum + NAC,Ta NPs,mM,2.0,0.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",,1.0,20,Strong ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
AS serum + NAC,RAW264.7,NAC amide,Xn,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,0.5,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,Xn,APE1siRNA,3%,100 μM,p-IκBα rel. GAPDH,Yes,Free,Fig 5B
AS serum + NAC,RAW264.7,NAC amide,Xn+NAC,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,1.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,Xn,APE1siRNA,3%,100 μM,p-IκBα rel. GAPDH,Yes,Free,Fig 5B
AS serum + NAC,SAOS2,NAC amide,mAPE1,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,6.23,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,CDDP,APE1siRNA,3%,10 μM,IC50 μg/ml,No,Free,Fig 2C right
AS serum + NAC,U2OS,NAC amide,APE1 knockdown,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,CDDP,APE1siRNA,3%,5 μM,fluorescence units,No,Free,Fig 1A top
AS serum + NAC,U2OS,NAC amide,APE1siRNA,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,67.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,Cisplatin,APE1siRNA,3%,100 μM,% ROS-positive,No,Free,Fig 4A
AS serum + NAC,U2OS,NAC amide,SCsiRNA,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,38.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,Cisplatin,APE1siRNA,3%,100 μM,% ROS-positive,No,Free,Fig 4A
AS serum + NAC,U2OS,NAC amide,Scramble control,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,150000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,CDDP,APE1siRNA,3%,5 μM,fluorescence units,No,Free,Fig 1A top
AS serum + NAC,U2OS,NAC amide,Sensitive,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,2.57,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,CDDP,APE1siRNA,3%,10 μM,IC50 μg/ml,No,Free,Fig 3A
AS serum + NAC,U2OS,NAC amide,mAPE1,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,7.61,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,CDDP,APE1siRNA,3%,10 μM,IC50 μg/ml,No,Free,Fig 2C left
AS serum + NAC,U2OS(R),NAC amide,Resistant,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,8.16,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,CDDP,APE1siRNA,3%,10 μM,IC50 μg/ml,No,Free,Fig 3A
AS serum + NAC,U937,NAC amide,NAC alone,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,10.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,NAC,APE1siRNA,3%,1.0 mM,% Dead Cells,Yes,Free,Fig 6b
AS serum + NAC,U937,NAC amide,NAC+SOD,PFNP,mM,,500.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,3.5,80.0,,65.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",10mM,Not specified,Qualitative,Sustained intracellular retention and tumor accumulation,NAC + 200U SOD,APE1siRNA,3%,1.0 mM,% Dead Cells,Yes,Free,Fig 6b
PEITC+NAC Apoptosis,PA-1,NAC amide,PEITC + NAC,Ta NPs,mM,0.5,0.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,5.0,10.0,20.0,75.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",,1.0,40,Partial ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
PEITC+NAC Apoptosis,SKOV-3,Mito-PEG-NAC,PEITC + NAC,Ta NPs,uM,0.5,0.0,5.0,3.5,4.0,1.2,1.1,1.3,36.7,12.5,25.0,20.0,75.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 25 μM, 50 μM","Moderate drop at 25 μM, severe at 50 μM",,1.0,40,Partial ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
PEITC+NAC Apoptosis,SKOV-3,Mito-nNAC-SMe,PEITC + NAC,Ta NPs,uM,0.5,0.0,3.1,2.2199999999999998,2.54,1.3,1.3,1.31,1.9,12.5,25.0,20.0,75.0,,120000.0,Condition,0–100,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",,1.0,40,Partial ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
PEITC+NAC Apoptosis,SKOV-3,NAC amide,PEITC + NAC,Ta NPs,mM,0.5,0.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,12.5,25.0,20.0,75.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",,1.0,40,Partial ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
PEITC+NAC Apoptosis,SKOV-3,NAC-SMe,PEITC + NAC,Ta NPs,mM,0.5,0.0,5.0,3.5,4.0,1.2,1.1,1.3,6600.0,12.5,25.0,20.0,75.0,,120000.0,DFO + NAC,0–100,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 6.2 mM, 25 mM","Initial drop at 6.25 mM, near-zero at ≥25 mM",,1.0,40,Partial ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
SW480 Glucose NAC,SW480,NAC amide,Glucose(-) + NAC,Ta NPs,mM,0.5,0.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,14.6,10.0,20.0,75.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",,1.0,40,Partial ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
SW620 Glucose NAC,SW620,NAC amide,Glucose(-) + NAC,Ta NPs,mM,0.5,0.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,12.0,10.0,25.0,78.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",,1.0,40,Partial ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
Xn + NAC,Unspecified Cancer,NAC amide,Xn + NAC,Ta NPs,mM,0.5,0.0,5.0,3.5,4.0,1.2,1.1,1.3,4300.0,10.0,10.0,2.0,70.0,,120000.0,DFO + NAC,0–100,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",,1.0,40,Partial ROS reduction,Cisplatin,SCsiRNA,2%,5 μM,fluorescence units,No,Free,Fig 1A top
