Treatment Condition,CD14 Fold Increase (HL60),CD14 Fold Increase (OCI-AML3),CD14 Fold Increase (NB4),ROS Oxidation (HL60),ROS Oxidation (OCI-AML3),ROS Oxidation (NB4),Compound Name,IC50,Dosing Range,Units,Concentrations Tested,Microscopy Images,Observed Response,Study,Cell Line,Condition,Apoptosis (%),PARP Fold Change,ROS Level,Cell Viability (%),Nanoparticle,NAC,H2O2_mM,Concentration_mg/mL,ROS_Level_%Control,Observation,Drug,Concentration (uM),siRNA,% ROS+ Cells,Concentration (μM or mM),Time (h),ROS Measurement,ROS Unit,NAC Involved,Delivery Type,Source Figure/Study
Condition,1.0,1.0,1.0,1.0,1.0,1.0,Mito-nNAC-SMe,1.9,0–100,uM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
NAC,3.5,2.0,2.5,0.8,0.9,0.85,Mito-nNAC-SMe,1.9,0–100,uM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO,1.0,1.1,1.2,2.3,2.4,2.1,Mito-nNAC-SMe,1.9,0–100,uM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,Mito-nNAC-SMe,1.9,0–100,uM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,Mito-nNAC-SMe,1.9,0–100,uM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 1.6 μM, 12.5 μM","Starts dropping at 1.6 μM, near-zero at ≥12.5 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,Mito-PEG-NAC,36.7,0–100,uM,Same as above,"control, 25 μM, 50 μM","Moderate drop at 25 μM, severe at 50 μM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC-SMe,6600.0,0–100,mM,"0, 0.1, 0.2, 0.4, 0.8, 1.6, 3.1, 6.25, 12.5, 25, 50, 100","control, 6.2 mM, 25 mM","Initial drop at 6.25 mM, near-zero at ≥25 mM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",PEITC+NAC Apoptosis,SKOV-3,PEITC + NAC,12.5,25.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",PEITC+NAC Apoptosis,PA-1,PEITC + NAC,5.0,10.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",SW480 Glucose NAC,SW480,Glucose(-) + NAC,14.6,10.0,20.0,75.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",SW620 Glucose NAC,SW620,Glucose(-) + NAC,12.0,10.0,25.0,78.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",Xn + NAC,Unspecified Cancer,Xn + NAC,10.0,10.0,2.0,70.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,Ta NPs,,1.0,0.5,1.0,Partial ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,Ta NPs,,1.0,1.0,1.0,Significant ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,Ta NPs,,1.0,2.0,1.0,Strong ROS reduction,Cisplatin,0.0,SCsiRNA,2%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Cisplatin,25.0,SCsiRNA,5%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Cisplatin,25.0,APE1siRNA,13%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Cisplatin,50.0,SCsiRNA,30%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Cisplatin,50.0,APE1siRNA,50%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Cisplatin,100.0,SCsiRNA,38%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Cisplatin,100.0,APE1siRNA,67%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Oxaliplatin,50.0,SCsiRNA,9%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Oxaliplatin,50.0,APE1siRNA,6%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Oxaliplatin,100.0,SCsiRNA,14%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Oxaliplatin,100.0,APE1siRNA,20%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Oxaliplatin,300.0,SCsiRNA,28%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Oxaliplatin,300.0,APE1siRNA,41%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Carboplatin,100.0,SCsiRNA,5%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Carboplatin,100.0,APE1siRNA,3%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Carboplatin,300.0,SCsiRNA,4%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Carboplatin,300.0,APE1siRNA,3%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Carboplatin,500.0,SCsiRNA,4%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,Primary Human Cells,AS serum + NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Carboplatin,500.0,APE1siRNA,3%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,U2OS,APE1 knockdown,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,CDDP,500.0,APE1siRNA,3%,5 μM,,120000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,U2OS,Scramble control,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,CDDP,500.0,APE1siRNA,3%,5 μM,,150000.0,fluorescence units,No,Free,Fig 1A top
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,U2OS,mAPE1,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,CDDP,500.0,APE1siRNA,3%,10 μM,,7.61,IC50 μg/ml,No,Free,Fig 2C left
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,SAOS2,mAPE1,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,CDDP,500.0,APE1siRNA,3%,10 μM,,6.23,IC50 μg/ml,No,Free,Fig 2C right
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,U2OS,Sensitive,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,CDDP,500.0,APE1siRNA,3%,10 μM,,2.57,IC50 μg/ml,No,Free,Fig 3A
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,U2OS(R),Resistant,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,CDDP,500.0,APE1siRNA,3%,10 μM,,8.16,IC50 μg/ml,No,Free,Fig 3A
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,U2OS,APE1siRNA,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Cisplatin,500.0,APE1siRNA,3%,100 μM,,67.0,% ROS-positive,No,Free,Fig 4A
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,U2OS,SCsiRNA,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,Cisplatin,500.0,APE1siRNA,3%,100 μM,,38.0,% ROS-positive,No,Free,Fig 4A
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,RAW264.7,Xn,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,4.166666666666667e-06,Sustained intracellular retention and tumor accumulation,Xn,500.0,APE1siRNA,3%,100 μM,,0.5,p-IκBα rel. GAPDH,Yes,Free,Fig 5B
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,RAW264.7,Xn+NAC,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,8.333333333333334e-06,Sustained intracellular retention and tumor accumulation,Xn,500.0,APE1siRNA,3%,100 μM,,1.0,p-IκBα rel. GAPDH,Yes,Free,Fig 5B
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,HL-60,NAC alone,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,0.0004583333333333333,Sustained intracellular retention and tumor accumulation,NAC,500.0,APE1siRNA,3%,0.5 mM,,55.0,% Dead Cells,Yes,Free,Fig 6a
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,HL-60,NAC+SOD,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,0.0007083333333333334,Sustained intracellular retention and tumor accumulation,NAC + 100U SOD,500.0,APE1siRNA,3%,0.5 mM,,85.0,% Dead Cells,Yes,Free,Fig 6a
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,U937,NAC alone,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,8.333333333333333e-05,Sustained intracellular retention and tumor accumulation,NAC,500.0,APE1siRNA,3%,1.0 mM,,10.0,% Dead Cells,Yes,Free,Fig 6b
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,U937,NAC+SOD,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,0.0005416666666666666,Sustained intracellular retention and tumor accumulation,NAC + 200U SOD,500.0,APE1siRNA,3%,1.0 mM,,65.0,% Dead Cells,Yes,Free,Fig 6b
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,HeLa,2a,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,1.0,Sustained intracellular retention and tumor accumulation,2a,500.0,APE1siRNA,3%,2 μM,,2.8,Relative Fluorescence,No,Free,Fig 7b left
DFO + NAC,5.0,3.5,4.0,1.2,1.1,1.3,NAC amide,4300.0,0–100,mM,Same as above,"control, 3.1 mM, 6.2 mM","Gradual drop at 3.1 mM, steep decline by 6.2 mM",AS serum + NAC,HeLa,NAC co-treatment,10.0,10.0,3.5,80.0,PFNP,10mM,Not specified,,0.35714285714285715,Sustained intracellular retention and tumor accumulation,NAC+2a,500.0,APE1siRNA,3%,2 μM,,1.0,Relative Fluorescence,Yes,Free,Fig 7b left
